run_id,platform_id,workload,scenario,run_kind,repetition,planned_split,purpose,profile,duration_seconds,sampling_hz,warmup_seconds,interruption_seconds,status,replacement_for,start_utc,end_utc,valid_rows,benign_hours,exclusion_reason,notes
m2_macos__py_stats__nominal__r01,M2_MACOS,PY_STATS,NOMINAL,required_matrix,1,calibration,production,enriched,720,5.0,0,0,planned,,,,,,,
m2_macos__py_stats__nominal__r02,M2_MACOS,PY_STATS,NOMINAL,required_matrix,2,development,production,enriched,720,5.0,0,0,planned,,,,,,,
m2_macos__py_stats__nominal__r03,M2_MACOS,PY_STATS,NOMINAL,required_matrix,3,locked_test,production,enriched,720,5.0,0,0,planned,,,,,,,
m2_macos__py_stats__atomic__r01,M2_MACOS,PY_STATS,ATOMIC,required_matrix,1,development,production,enriched,720,5.0,120,0,planned,,,,,,,
m2_macos__py_stats__atomic__r02,M2_MACOS,PY_STATS,ATOMIC,required_matrix,2,development,production,enriched,720,5.0,120,0,planned,,,,,,,
m2_macos__py_stats__atomic__r03,M2_MACOS,PY_STATS,ATOMIC,required_matrix,3,locked_test,production,enriched,720,5.0,120,0,planned,,,,,,,
m2_macos__py_stats__branch__r01,M2_MACOS,PY_STATS,BRANCH,required_matrix,1,development,production,enriched,720,5.0,120,0,planned,,,,,,,
m2_macos__py_stats__branch__r02,M2_MACOS,PY_STATS,BRANCH,required_matrix,2,development,production,enriched,720,5.0,120,0,planned,,,,,,,
m2_macos__py_stats__branch__r03,M2_MACOS,PY_STATS,BRANCH,required_matrix,3,locked_test,production,enriched,720,5.0,120,0,planned,,,,,,,
m2_macos__py_stats__cache__r01,M2_MACOS,PY_STATS,CACHE,required_matrix,1,development,production,enriched,720,5.0,120,0,planned,,,,,,,
m2_macos__py_stats__cache__r02,M2_MACOS,PY_STATS,CACHE,required_matrix,2,development,production,enriched,720,5.0,120,0,planned,,,,,,,
m2_macos__py_stats__cache__r03,M2_MACOS,PY_STATS,CACHE,required_matrix,3,locked_test,production,enriched,720,5.0,120,0,planned,,,,,,,
