run_id,platform_id,workload,scenario,run_kind,repetition,planned_split,purpose,profile,duration_seconds,sampling_hz,warmup_seconds,interruption_seconds,status,replacement_for,start_utc,end_utc,valid_rows,benign_hours,exclusion_reason,notes
m2_macos__py_stats__development_benign_supplement__f0,M2_MACOS,PY_STATS,NOMINAL,development_benign_supplement,101,development,production,enriched,2880,5.0,0,0,planned,,,,,,,preassigned fold 0; advisor approval required
m2_macos__py_stats__development_benign_supplement__f1,M2_MACOS,PY_STATS,NOMINAL,development_benign_supplement,102,development,production,enriched,2880,5.0,0,0,planned,,,,,,,preassigned fold 1; advisor approval required
m2_macos__py_ai__development_benign_supplement__f0,M2_MACOS,PY_AI,NOMINAL,development_benign_supplement,101,development,production,enriched,2880,5.0,0,0,planned,,,,,,,preassigned fold 0; advisor approval required
m2_macos__py_ai__development_benign_supplement__f1,M2_MACOS,PY_AI,NOMINAL,development_benign_supplement,102,development,production,enriched,2880,5.0,0,0,planned,,,,,,,preassigned fold 1; advisor approval required
m2_macos__browser__development_benign_supplement__f0,M2_MACOS,BROWSER,NOMINAL,development_benign_supplement,101,development,production,enriched,2880,5.0,0,0,planned,,,,,,,preassigned fold 0; advisor approval required
m2_macos__browser__development_benign_supplement__f1,M2_MACOS,BROWSER,NOMINAL,development_benign_supplement,102,development,production,enriched,2880,5.0,0,0,planned,,,,,,,preassigned fold 1; advisor approval required
m2_macos__video_sw__development_benign_supplement__f0,M2_MACOS,VIDEO_SW,NOMINAL,development_benign_supplement,101,development,production,enriched,2880,5.0,0,0,planned,,,,,,,preassigned fold 0; advisor approval required
m2_macos__video_sw__development_benign_supplement__f1,M2_MACOS,VIDEO_SW,NOMINAL,development_benign_supplement,102,development,production,enriched,2880,5.0,0,0,planned,,,,,,,preassigned fold 1; advisor approval required
epyc_linux__py_stats__development_benign_supplement__f0,EPYC_LINUX,PY_STATS,NOMINAL,development_benign_supplement,101,development,production,enriched,2880,5.0,0,0,planned,,,,,,,preassigned fold 0; advisor approval required
epyc_linux__py_stats__development_benign_supplement__f1,EPYC_LINUX,PY_STATS,NOMINAL,development_benign_supplement,102,development,production,enriched,2880,5.0,0,0,planned,,,,,,,preassigned fold 1; advisor approval required
epyc_linux__py_ai__development_benign_supplement__f0,EPYC_LINUX,PY_AI,NOMINAL,development_benign_supplement,101,development,production,enriched,2880,5.0,0,0,planned,,,,,,,preassigned fold 0; advisor approval required
epyc_linux__py_ai__development_benign_supplement__f1,EPYC_LINUX,PY_AI,NOMINAL,development_benign_supplement,102,development,production,enriched,2880,5.0,0,0,planned,,,,,,,preassigned fold 1; advisor approval required
epyc_linux__browser__development_benign_supplement__f0,EPYC_LINUX,BROWSER,NOMINAL,development_benign_supplement,101,development,production,enriched,2880,5.0,0,0,planned,,,,,,,preassigned fold 0; advisor approval required
epyc_linux__browser__development_benign_supplement__f1,EPYC_LINUX,BROWSER,NOMINAL,development_benign_supplement,102,development,production,enriched,2880,5.0,0,0,planned,,,,,,,preassigned fold 1; advisor approval required
epyc_linux__video_sw__development_benign_supplement__f0,EPYC_LINUX,VIDEO_SW,NOMINAL,development_benign_supplement,101,development,production,enriched,2880,5.0,0,0,planned,,,,,,,preassigned fold 0; advisor approval required
epyc_linux__video_sw__development_benign_supplement__f1,EPYC_LINUX,VIDEO_SW,NOMINAL,development_benign_supplement,102,development,production,enriched,2880,5.0,0,0,planned,,,,,,,preassigned fold 1; advisor approval required
