method,family,detector,parameters,false_alerts,benign_hours,false_alerts_per_hour,anomaly_runs,detected_runs,anomaly_run_detection_rate,median_time_to_detect_seconds,interruption_runs,telemetry_fault_identification_rate
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 2, ""cooldown_blocks"": 12, ""threshold"": 3.0}",186,10.0,18.6,120,100,0.8333333333333334,7.496914174524136,16,1.0
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 3, ""cooldown_blocks"": 12, ""threshold"": 3.0}",173,10.0,17.3,120,98,0.8166666666666667,12.496883853455074,16,1.0
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 5, ""cooldown_blocks"": 12, ""threshold"": 3.0}",158,10.0,15.8,120,93,0.775,22.4963148010429,16,1.0
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 8, ""cooldown_blocks"": 12, ""threshold"": 3.0}",142,10.0,14.2,120,94,0.7833333333333333,37.496017770434264,16,1.0
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 2, ""cooldown_blocks"": 12, ""threshold"": 4.0}",161,10.0,16.1,120,89,0.7416666666666667,7.496335000032559,16,1.0
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 3, ""cooldown_blocks"": 12, ""threshold"": 4.0}",152,10.0,15.2,120,85,0.7083333333333334,12.496223207912408,16,1.0
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 5, ""cooldown_blocks"": 12, ""threshold"": 4.0}",138,10.0,13.8,120,83,0.6916666666666667,22.496223207912408,16,1.0
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 8, ""cooldown_blocks"": 12, ""threshold"": 4.0}",126,10.0,12.6,120,78,0.65,37.49465002096258,16,1.0
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 2, ""cooldown_blocks"": 12, ""threshold"": 5.0}",138,10.0,13.8,120,68,0.5666666666666667,7.496883853455074,16,1.0
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 3, ""cooldown_blocks"": 12, ""threshold"": 5.0}",126,10.0,12.6,120,68,0.5666666666666667,12.496623602928594,16,1.0
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 5, ""cooldown_blocks"": 12, ""threshold"": 5.0}",115,10.0,11.5,120,67,0.5583333333333333,22.4963148010429,16,1.0
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 8, ""cooldown_blocks"": 12, ""threshold"": 5.0}",98,10.0,9.8,120,61,0.5083333333333333,37.4963148010429,16,1.0
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 2, ""cooldown_blocks"": 12, ""threshold"": 6.0}",115,10.0,11.5,120,63,0.525,7.496368791908026,16,1.0
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 3, ""cooldown_blocks"": 12, ""threshold"": 6.0}",106,10.0,10.6,120,61,0.5083333333333333,12.4963148010429,16,1.0
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 5, ""cooldown_blocks"": 12, ""threshold"": 6.0}",93,10.0,9.3,120,61,0.5083333333333333,22.496223207912408,16,1.0
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 8, ""cooldown_blocks"": 12, ""threshold"": 6.0}",80,10.0,8.0,120,58,0.48333333333333334,37.494237583421636,16,1.0
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 2, ""cooldown_blocks"": 12, ""threshold"": 8.0}",75,10.0,7.5,120,48,0.4,7.491378333535977,16,1.0
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 3, ""cooldown_blocks"": 12, ""threshold"": 8.0}",71,10.0,7.1,120,43,0.35833333333333334,12.487363917054608,16,1.0
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 5, ""cooldown_blocks"": 12, ""threshold"": 8.0}",62,10.0,6.2,120,40,0.3333333333333333,22.489583250076976,16,1.0
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 8, ""cooldown_blocks"": 12, ""threshold"": 8.0}",58,10.0,5.8,120,24,0.2,37.48730285448255,16,1.0
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 2, ""cooldown_blocks"": 12, ""threshold"": 10.0}",53,10.0,5.3,120,14,0.11666666666666667,7.489225146011449,16,1.0
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 3, ""cooldown_blocks"": 12, ""threshold"": 10.0}",49,10.0,4.9,120,12,0.1,12.48922514601145,16,1.0
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 5, ""cooldown_blocks"": 12, ""threshold"": 10.0}",43,10.0,4.3,120,5,0.041666666666666664,32.49694989807904,16,1.0
GUARDED_VAR_ROBUST_Z_PERSISTENCE,guarded_var,z_persistence,"{""consecutive"": 8, ""cooldown_blocks"": 12, ""threshold"": 10.0}",33,10.0,3.3,120,4,0.03333333333333333,49.99460092850495,16,1.0
GUARDED_VAR_PERSISTENCE,guarded_var,persistence,"{""alpha"": 0.02, ""consecutive"": 3, ""cooldown_blocks"": 12}",64,10.0,6.4,120,72,0.6,32.498336980934255,16,1.0
GUARDED_VAR_PERSISTENCE,guarded_var,persistence,"{""alpha"": 0.02, ""consecutive"": 5, ""cooldown_blocks"": 12}",36,10.0,3.6,120,63,0.525,42.48670887504704,16,1.0
GUARDED_VAR_PERSISTENCE,guarded_var,persistence,"{""alpha"": 0.02, ""consecutive"": 8, ""cooldown_blocks"": 12}",28,10.0,2.8,120,58,0.48333333333333334,54.98623147903709,16,1.0
GUARDED_VAR_PERSISTENCE,guarded_var,persistence,"{""alpha"": 0.02, ""consecutive"": 12, ""cooldown_blocks"": 12}",25,10.0,2.5,120,49,0.4083333333333333,67.4981276569888,16,1.0
GUARDED_VAR_PERSISTENCE,guarded_var,persistence,"{""alpha"": 0.01, ""consecutive"": 3, ""cooldown_blocks"": 12}",41,10.0,4.1,120,60,0.5,42.49812538991682,16,1.0
GUARDED_VAR_PERSISTENCE,guarded_var,persistence,"{""alpha"": 0.01, ""consecutive"": 5, ""cooldown_blocks"": 12}",28,10.0,2.8,120,48,0.4,52.498069524532184,16,1.0
