method,family,detector,parameters,false_alerts,benign_hours,false_alerts_per_hour,anomaly_runs,detected_runs,anomaly_run_detection_rate,median_time_to_detect_seconds,interruption_runs,telemetry_fault_identification_rate
DICE_RIDGE_PERSISTENCE,ridge,persistence,"{""alpha"": 0.1, ""consecutive"": 2, ""cooldown_blocks"": 6}",1245,12.533333333333333,99.33510638297872,120,118,0.9833333333333333,12.492226833477616,16,1.0
DICE_RIDGE_PERSISTENCE,ridge,persistence,"{""alpha"": 0.1, ""consecutive"": 3, ""cooldown_blocks"": 6}",1209,12.533333333333333,96.4627659574468,120,118,0.9833333333333333,17.492226833477616,16,1.0
DICE_RIDGE_PERSISTENCE,ridge,persistence,"{""alpha"": 0.1, ""consecutive"": 5, ""cooldown_blocks"": 6}",1167,12.533333333333333,93.11170212765957,120,118,0.9833333333333333,27.492226833477616,16,1.0
DICE_RIDGE_PERSISTENCE,ridge,persistence,"{""alpha"": 0.05, ""consecutive"": 2, ""cooldown_blocks"": 6}",1145,12.533333333333333,91.3563829787234,120,117,0.975,12.4963148010429,16,1.0
DICE_RIDGE_PERSISTENCE,ridge,persistence,"{""alpha"": 0.05, ""consecutive"": 3, ""cooldown_blocks"": 6}",1127,12.533333333333333,89.92021276595744,120,117,0.975,17.4963148010429,16,1.0
DICE_RIDGE_PERSISTENCE,ridge,persistence,"{""alpha"": 0.05, ""consecutive"": 5, ""cooldown_blocks"": 6}",1111,12.533333333333333,88.6436170212766,120,115,0.9583333333333334,27.495000750059262,16,1.0
DICE_RIDGE_PERSISTENCE,ridge,persistence,"{""alpha"": 0.02, ""consecutive"": 2, ""cooldown_blocks"": 6}",922,12.533333333333333,73.56382978723404,120,111,0.925,12.496889292960986,16,1.0
DICE_RIDGE_PERSISTENCE,ridge,persistence,"{""alpha"": 0.02, ""consecutive"": 3, ""cooldown_blocks"": 6}",907,12.533333333333333,72.36702127659575,120,110,0.9166666666666666,17.496299466467462,16,1.0
DICE_RIDGE_PERSISTENCE,ridge,persistence,"{""alpha"": 0.02, ""consecutive"": 5, ""cooldown_blocks"": 6}",891,12.533333333333333,71.09042553191489,120,109,0.9083333333333333,27.49581233295612,16,1.0
DICE_RIDGE_PERSISTENCE,ridge,persistence,"{""alpha"": 0.01, ""consecutive"": 2, ""cooldown_blocks"": 6}",0,12.533333333333333,0.0,120,0,0.0,nan,16,1.0
DICE_RIDGE_PERSISTENCE,ridge,persistence,"{""alpha"": 0.01, ""consecutive"": 3, ""cooldown_blocks"": 6}",0,12.533333333333333,0.0,120,0,0.0,nan,16,1.0
DICE_RIDGE_PERSISTENCE,ridge,persistence,"{""alpha"": 0.01, ""consecutive"": 5, ""cooldown_blocks"": 6}",0,12.533333333333333,0.0,120,0,0.0,nan,16,1.0
