run_id,platform_id,workload,scenario,run_kind,benign_hours,false_alerts,detected,detection_delay_seconds,warning_episodes,confirmed_alert_episodes,full_tier_fraction
epyc_linux__browser__atomic__r02,EPYC_LINUX,BROWSER,ATOMIC,required_matrix,0.0,0,True,457.4979772088118,1,1,0.041666666666666664
epyc_linux__browser__branch__r02,EPYC_LINUX,BROWSER,BRANCH,required_matrix,0.0,0,False,,0,0,0.0
epyc_linux__browser__cache__r02,EPYC_LINUX,BROWSER,CACHE,required_matrix,0.0,0,False,,0,0,0.0
epyc_linux__browser__controlled_crash__r02,EPYC_LINUX,BROWSER,CONTROLLED_CRASH,required_matrix,0.0,0,False,,1,0,0.041666666666666664
epyc_linux__browser__membw__r02,EPYC_LINUX,BROWSER,MEMBW,required_matrix,0.0,0,False,,0,0,0.0
epyc_linux__browser__telemetry_interruption__r02,EPYC_LINUX,BROWSER,TELEMETRY_INTERRUPTION,required_matrix,0.0,0,False,,0,0,0.0
epyc_linux__browser__tlb__r02,EPYC_LINUX,BROWSER,TLB,required_matrix,0.0,0,False,,1,0,0.041666666666666664
epyc_linux__browser__v2_independent_confirmation__f0,EPYC_LINUX,BROWSER,NOMINAL,v2_failed_confirmation_development,1.05,0,False,,0,0,0.0
epyc_linux__browser__v2_independent_confirmation__f1,EPYC_LINUX,BROWSER,NOMINAL,v2_failed_confirmation_development,1.05,1,False,,1,1,0.007692307692307693
epyc_linux__browser__v3_independent_confirmation__f0,EPYC_LINUX,BROWSER,NOMINAL,v3_failed_confirmation_development,1.05,0,False,,1,0,0.007692307692307693
epyc_linux__browser__v3_independent_confirmation__f1,EPYC_LINUX,BROWSER,NOMINAL,v3_failed_confirmation_development,1.05,0,False,,1,0,0.007692307692307693
epyc_linux__py_ai__atomic__r02,EPYC_LINUX,PY_AI,ATOMIC,required_matrix,0.0,0,True,117.49814974190667,1,1,0.041666666666666664
epyc_linux__py_ai__branch__r02,EPYC_LINUX,PY_AI,BRANCH,required_matrix,0.0,0,True,107.4981709108688,1,1,0.041666666666666664
epyc_linux__py_ai__cache__r02,EPYC_LINUX,PY_AI,CACHE,required_matrix,0.0,0,True,107.49800310702994,1,1,0.041666666666666664
epyc_linux__py_ai__controlled_crash__r02,EPYC_LINUX,PY_AI,CONTROLLED_CRASH,required_matrix,0.0,0,False,,1,0,0.041666666666666664
epyc_linux__py_ai__degradation_proxy__r02,EPYC_LINUX,PY_AI,DEGRADATION_PROXY,targeted_extension,0.0,0,True,247.4985363939777,1,1,0.041666666666666664
epyc_linux__py_ai__membw__r02,EPYC_LINUX,PY_AI,MEMBW,required_matrix,0.0,0,True,117.49827036214992,1,1,0.041666666666666664
epyc_linux__py_ai__power_shift__r02,EPYC_LINUX,PY_AI,POWER_SHIFT,targeted_extension,0.0,0,True,162.49855083902366,1,1,0.041666666666666664
epyc_linux__py_ai__telemetry_interruption__r02,EPYC_LINUX,PY_AI,TELEMETRY_INTERRUPTION,required_matrix,0.0,0,False,,0,0,0.0
epyc_linux__py_ai__thermal_shift__r02,EPYC_LINUX,PY_AI,THERMAL_SHIFT,targeted_extension,0.0,0,True,127.4980447019916,1,1,0.041666666666666664
epyc_linux__py_ai__tlb__r02,EPYC_LINUX,PY_AI,TLB,required_matrix,0.0,0,True,107.49843884003349,1,1,0.041666666666666664
epyc_linux__py_ai__v2_independent_confirmation__f0,EPYC_LINUX,PY_AI,NOMINAL,v2_failed_confirmation_development,1.05,1,False,,1,1,0.007692307692307693
epyc_linux__py_ai__v2_independent_confirmation__f1,EPYC_LINUX,PY_AI,NOMINAL,v2_failed_confirmation_development,1.05,1,False,,1,1,0.007692307692307693
epyc_linux__py_ai__v3_independent_confirmation__f0,EPYC_LINUX,PY_AI,NOMINAL,v3_failed_confirmation_development,1.05,0,False,,0,0,0.0
epyc_linux__py_ai__v3_independent_confirmation__f1,EPYC_LINUX,PY_AI,NOMINAL,v3_failed_confirmation_development,1.05,0,False,,0,0,0.0
epyc_linux__py_stats__atomic__r02,EPYC_LINUX,PY_STATS,ATOMIC,required_matrix,0.0,0,True,182.49812312284485,1,1,0.041666666666666664
epyc_linux__py_stats__branch__r02,EPYC_LINUX,PY_STATS,BRANCH,required_matrix,0.0,0,True,267.4980890080333,1,1,0.041666666666666664
epyc_linux__py_stats__cache__r02,EPYC_LINUX,PY_STATS,CACHE,required_matrix,0.0,0,True,272.49809434707277,1,1,0.041666666666666664
epyc_linux__py_stats__controlled_crash__r02,EPYC_LINUX,PY_STATS,CONTROLLED_CRASH,required_matrix,0.0,0,False,,0,0,0.0
epyc_linux__py_stats__degradation_proxy__r02,EPYC_LINUX,PY_STATS,DEGRADATION_PROXY,targeted_extension,0.0,0,False,,0,0,0.0
epyc_linux__py_stats__membw__r02,EPYC_LINUX,PY_STATS,MEMBW,required_matrix,0.0,0,True,257.4969390560873,1,1,0.041666666666666664
epyc_linux__py_stats__power_shift__r02,EPYC_LINUX,PY_STATS,POWER_SHIFT,targeted_extension,0.0,0,True,317.4983102658298,1,1,0.041666666666666664
epyc_linux__py_stats__telemetry_interruption__r02,EPYC_LINUX,PY_STATS,TELEMETRY_INTERRUPTION,required_matrix,0.0,0,False,,0,0,0.0
epyc_linux__py_stats__thermal_shift__r02,EPYC_LINUX,PY_STATS,THERMAL_SHIFT,targeted_extension,0.0,0,True,167.49807217507623,1,1,0.041666666666666664
epyc_linux__py_stats__tlb__r02,EPYC_LINUX,PY_STATS,TLB,required_matrix,0.0,0,False,,1,0,0.041666666666666664
epyc_linux__py_stats__v2_independent_confirmation__f0,EPYC_LINUX,PY_STATS,NOMINAL,v2_failed_confirmation_development,1.05,1,False,,1,1,0.007692307692307693
epyc_linux__py_stats__v2_independent_confirmation__f1,EPYC_LINUX,PY_STATS,NOMINAL,v2_failed_confirmation_development,1.05,1,False,,1,1,0.007692307692307693
epyc_linux__py_stats__v3_independent_confirmation__f0,EPYC_LINUX,PY_STATS,NOMINAL,v3_failed_confirmation_development,1.05,0,False,,0,0,0.0
epyc_linux__py_stats__v3_independent_confirmation__f1,EPYC_LINUX,PY_STATS,NOMINAL,v3_failed_confirmation_development,1.05,0,False,,0,0,0.0
epyc_linux__video_sw__atomic__r02,EPYC_LINUX,VIDEO_SW,ATOMIC,required_matrix,0.0,0,False,,1,0,0.041666666666666664
epyc_linux__video_sw__branch__r02,EPYC_LINUX,VIDEO_SW,BRANCH,required_matrix,0.0,0,True,457.49726963299327,1,1,0.041666666666666664
epyc_linux__video_sw__cache__r02,EPYC_LINUX,VIDEO_SW,CACHE,required_matrix,0.0,0,True,522.4970805239864,1,1,0.041666666666666664
epyc_linux__video_sw__controlled_crash__r02,EPYC_LINUX,VIDEO_SW,CONTROLLED_CRASH,required_matrix,0.0,0,False,,0,0,0.0
epyc_linux__video_sw__membw__r02,EPYC_LINUX,VIDEO_SW,MEMBW,required_matrix,0.0,0,False,,0,0,0.0
epyc_linux__video_sw__telemetry_interruption__r02,EPYC_LINUX,VIDEO_SW,TELEMETRY_INTERRUPTION,required_matrix,0.0,0,False,,0,0,0.0
epyc_linux__video_sw__tlb__r02,EPYC_LINUX,VIDEO_SW,TLB,required_matrix,0.0,0,True,357.4970031140838,1,1,0.041666666666666664
epyc_linux__video_sw__v2_independent_confirmation__f0,EPYC_LINUX,VIDEO_SW,NOMINAL,v2_failed_confirmation_development,1.05,0,False,,0,0,0.0
