run_id,platform_id,workload,scenario,run_kind,fold,behavioral_classification_included,true_label,predicted_alert,run_score_peak,run_score_median,run_score_p95,false_alert_episodes,benign_hours,detection_delay_seconds,warning_episodes,full_tier_fraction,telemetry_fault_case,telemetry_fault_identified,locked_test_accessed
epyc_linux__browser__atomic__r01,EPYC_LINUX,BROWSER,ATOMIC,required_matrix,0,True,1.0,1,0.9369091192456518,0.6535605549516663,0.8736424116663796,0,0.0,372.49694989807904,1,0.041666666666666664,False,,False
epyc_linux__browser__atomic__r02,EPYC_LINUX,BROWSER,ATOMIC,required_matrix,1,True,1.0,0,0.9394924877850023,0.7300134263348366,0.9117266515271141,0,0.0,,1,0.041666666666666664,False,,False
epyc_linux__browser__branch__r01,EPYC_LINUX,BROWSER,BRANCH,required_matrix,0,True,1.0,1,0.9834077409374344,0.6984140977453208,0.9252231069057011,0,0.0,347.49704889184795,1,0.041666666666666664,False,,False
epyc_linux__browser__branch__r02,EPYC_LINUX,BROWSER,BRANCH,required_matrix,1,True,1.0,0,0.8983202650400043,0.4264437317137939,0.8241100984883778,0,0.0,,0,0.0,False,,False
epyc_linux__browser__cache__r01,EPYC_LINUX,BROWSER,CACHE,required_matrix,0,True,1.0,0,0.9131820193045436,0.5587235893431801,0.8149803941831444,0,0.0,,0,0.0,False,,False
epyc_linux__browser__cache__r02,EPYC_LINUX,BROWSER,CACHE,required_matrix,1,True,1.0,0,0.8690328345557522,0.48167303433316505,0.6817942794452029,0,0.0,,0,0.0,False,,False
epyc_linux__browser__controlled_crash__r01,EPYC_LINUX,BROWSER,CONTROLLED_CRASH,required_matrix,0,True,1.0,0,0.9356919167760318,0.2871662172319428,0.7772475884148541,0,0.0,,0,0.0,False,,False
epyc_linux__browser__controlled_crash__r02,EPYC_LINUX,BROWSER,CONTROLLED_CRASH,required_matrix,1,True,1.0,1,0.9029166888789608,0.6486259632913456,0.835538866806239,0,0.0,547.4963350000326,1,0.041666666666666664,False,,False
epyc_linux__browser__development_benign_supplement__f0,EPYC_LINUX,BROWSER,NOMINAL,development_benign_supplement,0,True,0.0,0,0.9433208377412365,0.24118459792734082,0.5196732731386071,0,0.7666666666666667,,0,0.0,False,,False
epyc_linux__browser__development_benign_supplement__f1,EPYC_LINUX,BROWSER,NOMINAL,development_benign_supplement,1,True,0.0,0,0.9742072132270686,0.14561223238130844,0.5167615386260606,0,0.7666666666666667,,0,0.0,False,,False
epyc_linux__browser__long_benign__s01,EPYC_LINUX,BROWSER,NOMINAL,long_benign,0,True,0.0,0,0.9517327840183922,0.342385904149868,0.7215567236305465,0,0.7666666666666667,,0,0.0,False,,False
epyc_linux__browser__membw__r01,EPYC_LINUX,BROWSER,MEMBW,required_matrix,0,True,1.0,0,0.8258255247910788,0.5657698653863086,0.7784603950673548,0,0.0,,0,0.0,False,,False
epyc_linux__browser__membw__r02,EPYC_LINUX,BROWSER,MEMBW,required_matrix,1,True,1.0,1,0.9525449123384616,0.7474702189629514,0.895433673685892,0,0.0,362.4981490741484,1,0.041666666666666664,False,,False
epyc_linux__browser__nominal__r02,EPYC_LINUX,BROWSER,NOMINAL,required_matrix,1,True,0.0,0,0.8526607588456278,0.4516127296546696,0.769331921893267,0,0.16666666666666666,,0,0.0,False,,False
epyc_linux__browser__telemetry_interruption__r01,EPYC_LINUX,BROWSER,TELEMETRY_INTERRUPTION,required_matrix,0,False,,0,,,,0,0.0,,0,0.0,True,True,False
epyc_linux__browser__telemetry_interruption__r02,EPYC_LINUX,BROWSER,TELEMETRY_INTERRUPTION,required_matrix,1,False,,0,,,,0,0.0,,0,0.0,True,True,False
epyc_linux__browser__tlb__r01,EPYC_LINUX,BROWSER,TLB,required_matrix,0,True,1.0,0,0.9715286341861071,0.7163683703767116,0.8601062315801918,0,0.0,,1,0.041666666666666664,False,,False
epyc_linux__browser__tlb__r02,EPYC_LINUX,BROWSER,TLB,required_matrix,1,True,1.0,1,0.9450074861744217,0.6884371074100382,0.8878782378591379,0,0.0,377.49806440109387,1,0.041666666666666664,False,,False
