detector,stride,minimum_semantic_groups,minimum_hit_separation_blocks,hard_single_group_hits,group_alpha,hard_single_group_alpha,confirmation_blocks,corroborated_hits,false_alerts,benign_hours,fah,detected,runs,detection,ttd,telemetry_fault_identification_rate,warning_episodes,confirmed_alert_episodes,full_tier_duty_cycle,strict_g3,strict_development_margin
eprocess,2,2,2,3,0.01,0.001,6,1,0,53.333333333333336,0.0,0,120,0.0,nan,1.0,81,0,0.008894512910798121,False,False
eprocess,2,2,2,3,0.01,0.001,6,2,0,53.333333333333336,0.0,0,120,0.0,nan,1.0,81,0,0.008894512910798121,False,False
eprocess,2,2,2,3,0.01,0.001,9,1,0,53.333333333333336,0.0,0,120,0.0,nan,1.0,81,0,0.013259242957746479,False,False
eprocess,2,2,2,3,0.01,0.001,9,2,0,53.333333333333336,0.0,0,120,0.0,nan,1.0,81,0,0.013259242957746479,False,False
eprocess,2,2,2,3,0.01,0.001,12,1,0,53.333333333333336,0.0,0,120,0.0,nan,1.0,81,0,0.01751393779342723,False,False
eprocess,2,2,2,3,0.01,0.001,12,2,0,53.333333333333336,0.0,0,120,0.0,nan,1.0,81,0,0.01751393779342723,False,False
eprocess,2,2,2,3,0.01,0.0025,6,1,0,53.333333333333336,0.0,0,120,0.0,nan,1.0,81,0,0.008894512910798121,False,False
eprocess,2,2,2,3,0.01,0.0025,6,2,0,53.333333333333336,0.0,0,120,0.0,nan,1.0,81,0,0.008894512910798121,False,False
eprocess,2,2,2,3,0.01,0.0025,9,1,0,53.333333333333336,0.0,0,120,0.0,nan,1.0,81,0,0.013259242957746479,False,False
eprocess,2,2,2,3,0.01,0.0025,9,2,0,53.333333333333336,0.0,0,120,0.0,nan,1.0,81,0,0.013259242957746479,False,False
eprocess,2,2,2,3,0.01,0.0025,12,1,0,53.333333333333336,0.0,0,120,0.0,nan,1.0,81,0,0.01751393779342723,False,False
eprocess,2,2,2,3,0.01,0.0025,12,2,0,53.333333333333336,0.0,0,120,0.0,nan,1.0,81,0,0.01751393779342723,False,False
eprocess,2,2,2,3,0.025,0.001,6,1,2,53.333333333333336,0.0375,6,120,0.05,277.4871754999622,1.0,81,8,0.008894512910798121,False,False
eprocess,2,2,2,3,0.025,0.001,6,2,2,53.333333333333336,0.0375,2,120,0.016666666666666666,217.4981432214845,1.0,81,4,0.008894512910798121,False,False
eprocess,2,2,2,3,0.025,0.001,9,1,2,53.333333333333336,0.0375,7,120,0.058333333333333334,282.4873366249958,1.0,81,9,0.013259242957746479,False,False
eprocess,2,2,2,3,0.025,0.001,9,2,2,53.333333333333336,0.0375,2,120,0.016666666666666666,217.4981432214845,1.0,81,4,0.013259242957746479,False,False
eprocess,2,2,2,3,0.025,0.001,12,1,2,53.333333333333336,0.0375,7,120,0.058333333333333334,282.4873366249958,1.0,81,9,0.01751393779342723,False,False
eprocess,2,2,2,3,0.025,0.001,12,2,2,53.333333333333336,0.0375,3,120,0.025,277.49820415396243,1.0,81,5,0.01751393779342723,False,False
eprocess,2,2,2,3,0.025,0.0025,6,1,2,53.333333333333336,0.0375,6,120,0.05,277.4871754999622,1.0,81,8,0.008894512910798121,False,False
eprocess,2,2,2,3,0.025,0.0025,6,2,2,53.333333333333336,0.0375,2,120,0.016666666666666666,217.4981432214845,1.0,81,4,0.008894512910798121,False,False
eprocess,2,2,2,3,0.025,0.0025,9,1,2,53.333333333333336,0.0375,7,120,0.058333333333333334,282.4873366249958,1.0,81,9,0.013259242957746479,False,False
eprocess,2,2,2,3,0.025,0.0025,9,2,2,53.333333333333336,0.0375,2,120,0.016666666666666666,217.4981432214845,1.0,81,4,0.013259242957746479,False,False
eprocess,2,2,2,3,0.025,0.0025,12,1,2,53.333333333333336,0.0375,7,120,0.058333333333333334,282.4873366249958,1.0,81,9,0.01751393779342723,False,False
eprocess,2,2,2,3,0.025,0.0025,12,2,2,53.333333333333336,0.0375,3,120,0.025,277.49820415396243,1.0,81,5,0.01751393779342723,False,False
